,taxiid,start,idotart,tavolsag,viteldij,borravalo,fizmod
480,4092,2016-12-22 23:30:00,240,0.0,5.25,2.0,bankkártya
255,8232,2016-12-23 00:30:00,540,0.0,12.25,0.0,készpénz
266,5406,2016-12-23 09:30:00,360,0.0,6.0,0.0,készpénz
796,3899,2016-12-23 10:00:00,1560,0.0,36.5,0.0,készpénz
461,6923,2016-12-23 11:30:00,420,0.0,7.5,2.0,bankkártya
399,6086,2016-12-23 13:30:00,1080,0.0,11.5,3.75,bankkártya
1661,3594,2016-12-23 15:30:00,2400,0.0,23.5,0.0,készpénz
784,8648,2016-12-23 16:15:00,300,0.0,5.5,0.0,készpénz
1189,6569,2016-12-23 16:45:00,300,0.0,5.5,0.0,készpénz
376,8016,2016-12-23 17:15:00,240,0.0,4.75,0.0,készpénz
1763,7531,2016-12-24 01:15:00,360,0.0,6.5,0.0,készpénz
915,1460,2016-12-24 18:45:00,300,0.0,5.25,1.0,bankkártya
920,1691,2016-12-24 21:15:00,660,0.0,10.5,0.0,készpénz
890,6775,2016-12-26 01:15:00,420,0.0,8.0,0.0,készpénz
1245,1811,2016-12-26 13:00:00,360,0.0,6.75,2.0,bankkártya
508,3514,2016-12-26 19:45:00,420,0.0,7.25,0.0,készpénz
572,505,2016-12-26 22:15:00,600,0.0,9.25,2.0,bankkártya
66,2819,2016-12-26 22:15:00,240,0.0,5.5,0.0,készpénz
1411,6544,2016-12-27 16:15:00,1020,0.0,12.0,0.0,készpénz
459,1110,2016-12-27 18:00:00,360,0.0,5.5,0.0,készpénz
823,4325,2016-12-27 23:45:00,420,0.0,7.0,2.0,bankkártya
831,2240,2016-12-28 14:45:00,300,0.0,5.75,0.0,készpénz
1666,7622,2016-12-28 15:45:00,900,0.0,12.75,0.0,készpénz
1057,8636,2016-12-28 17:00:00,420,0.0,7.0,0.0,készpénz
1625,2240,2016-12-28 17:30:00,540,0.0,7.0,0.0,készpénz
1754,4325,2016-12-29 09:00:00,1020,0.0,24.75,2.0,bankkártya
1222,5901,2016-12-29 10:45:00,660,0.0,7.75,0.0,készpénz
1515,5243,2016-12-29 12:15:00,1380,0.0,26.5,0.0,készpénz
1169,157,2016-12-29 17:30:00,240,0.0,5.0,1.0,bankkártya
12,5856,2016-12-29 18:45:00,300,0.0,5.25,0.0,készpénz
1482,5130,2016-12-29 21:00:00,540,0.0,7.25,0.0,készpénz
1426,4560,2016-12-30 00:15:00,180,0.0,5.0,0.0,ingyenes
24,1098,2016-12-30 12:45:00,660,0.0,14.5,2.0,bankkártya
39,3465,2016-12-30 12:45:00,240,0.0,5.0,0.0,készpénz
1122,8563,2016-12-30 12:45:00,780,0.0,9.0,0.0,készpénz
825,4877,2016-12-30 12:45:00,300,0.0,5.75,2.0,bankkártya
787,4109,2016-12-30 14:15:00,540,0.0,8.5,2.0,bankkártya
317,7643,2016-12-30 17:00:00,240,0.0,5.0,0.0,készpénz
944,3043,2016-12-30 17:45:00,600,0.0,8.75,2.0,bankkártya
1035,4675,2016-12-30 19:00:00,360,0.0,6.25,3.0,bankkártya
1678,1261,2016-12-30 21:00:00,480,0.0,7.75,2.0,bankkártya
1769,8031,2016-12-30 21:00:00,840,0.0,11.5,2.3,bankkártya
636,414,2016-12-30 21:15:00,120,0.0,4.25,2.0,bankkártya
1421,6902,2016-12-30 22:30:00,180,0.0,4.25,0.0,készpénz
1118,812,2016-12-30 23:15:00,540,0.0,7.5,2.0,bankkártya
1258,3649,2016-12-31 00:30:00,420,0.0,7.0,0.0,készpénz
494,6513,2016-12-31 01:00:00,240,0.0,5.25,4.0,bankkártya
1171,2388,2016-12-31 02:30:00,180,0.0,4.75,0.0,készpénz
779,684,2016-12-31 12:30:00,240,0.0,5.0,1.0,bankkártya
698,3799,2016-12-31 14:15:00,240,0.0,5.5,0.0,készpénz
911,547,2016-12-31 16:00:00,300,0.0,3.25,0.0,készpénz
1157,8274,2016-12-31 16:15:00,720,0.0,9.75,2.15,bankkártya
7,2538,2016-12-31 17:15:00,540,0.0,6.75,0.0,készpénz
1100,1164,2016-12-31 19:30:00,240,0.0,5.25,0.0,készpénz
267,4119,2016-12-31 19:45:00,1440,0.0,18.0,0.0,készpénz
1133,3612,2016-12-31 21:30:00,1200,0.0,16.0,0.0,készpénz
1633,4638,2016-12-31 22:45:00,2400,0.0,44.0,11.25,bankkártya
